UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database
Q03465	P20049	851542	852464	RPN4	TYR1	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,20385592,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P52488	P27796	851998	854646	UBA2	POT1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,electrophoretic mobility shift assay,northern blot,western blot	8972187,9774671,12071844,30073202,23088601,17551510,24170807,18285336,11170837	Saccharomyces cerevisiae	Yeastract
Q03465	P40970	851542	851634	RPN4	LCB2	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P10961	P25619	852806	850385	HSF1	HSP30	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,full identification by RNA sequencing,northern blot	15647283,30332327,15343339,20385592,16880382,27924024,24170807,24237754	Saccharomyces cerevisiae	GTRD,Yeastract
P26798	Q12452	851701	850790	INO2	ERG27	experimental interaction detection	22057011,24170807	Saccharomyces cerevisiae	Yeastract
P14164	P52488	853748	851998	ABF1	UBA2	array technology/partial DNA sequence identification by hybridization,tag visualisation by enzyme assay	24170807,12748191,16880382	Saccharomyces cerevisiae	Yeastract
P14064	Q12329	853751	851751	HAP4	HSP42	reverse transcription pcr	30227387,24170807	Saccharomyces cerevisiae	Yeastract
P13902	Q05040	854042	855044	INO4	FAR8	chromatin immunoprecipitation array,chromatin immunoprecipitation assay,tag visualisation by enzyme assay	17224918,26245832,30073202,16709784,16034810,24170807	Saccharomyces cerevisiae	Yeastract
P25042	P16603	856178	856438	ROX1	NCP1	array technology,array technology/partial DNA sequence identification by hybridization,northern blot,tag visualisation by enzyme assay	11741867,16880382,1730736,24170807,9388292	Saccharomyces cerevisiae	Yeastract
P0CE41	P10614	850958	856398	HAP1	ERG11	chromatin immunoprecipitation array,chromatin immunoprecipitation assay,quantitative reverse transcription pcr,tag visualisation by enzyme assay	29263028,15343339,30073202,1730736,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P43613	850513	850602	HAC1	ERJ5	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,footprinting,full identification by RNA sequencing	15343339,16880382,30016623,24170807,24237754	Saccharomyces cerevisiae	Yeastract
Q03465	P40030	851542	856767	RPN4	ERG28	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,experimental interaction detection	21931558,18627600,24170807,16709784	Saccharomyces cerevisiae	Yeastract
P07269	P00360	851452	853395	PHO2	TDH1	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21119627,24170807	Saccharomyces cerevisiae	Yeastract
P19541	P33302	855970	854324	RDS2	PDR5	northern blot	24170807,11943786	Saccharomyces cerevisiae	Yeastract
P39720	P13711	851247	852667	OAF1	POX1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,electrophoretic mobility shift assay,northern blot,reverse transcription pcr	25355315,8972187,9774671,30073202,17551510,8662598,28321934,24170807,18285336,20139423	Saccharomyces cerevisiae	Yeastract
P41546	P25573	850513	850313	HAC1	MGR1	array technology/partial DNA sequence identification by hybridization,footprinting,full identification by RNA sequencing	24170807,30016623,16880382,16371132	Saccharomyces cerevisiae	Yeastract
P14064	P32607	853751	854087	HAP4	RTG1	reverse transcription pcr	26787838,24170807	Saccharomyces cerevisiae	Yeastract
P11938	P00812	855505	855993	RAP1	CAR1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,enzymatic study,tag visualisation by enzyme assay	8432717,12399584,11455386,20231876,17646381,20385592,24170807,22498630,9065690	Saccharomyces cerevisiae	Yeastract
P03069	P47096	856709	853482	GCN4	BNA1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,experimental interaction detection,full identification by RNA sequencing	12399584,21119627,17224918,15843968,29628310,19346491,11390663,15343339,30354837,16709784,20098497,15274137,27924024,24170807,20233714	Saccharomyces cerevisiae	GTRD,Yeastract
P39720	P00890	851247	855732	OAF1	CIT1	northern blot	9774671,24170807	Saccharomyces cerevisiae	Yeastract
P12383	P38145	852871	852559	PDR1	RIB5	array technology/partial DNA sequence identification by hybridization,primer specific pcr	18627600,15145054,17993571,24170807,11557050	Saccharomyces cerevisiae	Yeastract
P33749	P06244	853803	853275	MSN4	TPK1	array technology/partial DNA sequence identification by hybridization,tag visualisation by enzyme assay	16926161,24530423,21749328,24170807,15870279,18931682	Saccharomyces cerevisiae	Yeastract
P14064	P00128	853751	852142	HAP4	QCR7	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,northern blot,reverse transcription pcr	28830930,12399584,10788368,20832886,15343339,16880382,26787838,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P23644	851542	855243	RPN4	TOM40	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P38889	P02406	856613	852775	SKN7	RPL28	Identification by mass spectrometry	27373166,24170807	Saccharomyces cerevisiae	Yeastract
P54790	Q02207	850656	853878	ORC3	FOX2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,northern blot,reverse transcription pcr	19056732,25355315,9774671,30073202,17551510,24170807,20139423	Saccharomyces cerevisiae	Yeastract
Q01722	P00330	855522	854068	GCR2	ADH1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,experimental interaction detection	21119627,12399584,15343339,20385592,24170807,15645478,20393576	Saccharomyces cerevisiae	Yeastract
P41546	Q08991	850513	855850	HAC1	FEX2	footprinting	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P11746	P28272	855060	853664	MCM1	URA1	northern blot	16278448,24170807	Saccharomyces cerevisiae	Yeastract
P03069	P04076	856709	856411	GCN4	ARG4	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,full identification by RNA sequencing,northern blot	20385592,23275543,16880382,27924024,26602697,21119627,19346491,23837815,22114689,24170807,20233714,12399584,17224918,16314536,15343339,16709784,28878244,29628310,11390663,30354837,16166643,20098497	Saccharomyces cerevisiae	GTRD,Yeastract
P06774	P00044	852614	853507	HAP2	CYC1	array technology/partial DNA sequence identification by hybridization,electrophoretic mobility shift assay,northern blot,tag visualisation by enzyme assay,tag visualisation by luciferase assay,ultraviolet (uv) footprinting	8195189,1310523,2826015,20385592,18239271,10972830,20008079,6319028,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P25371	850513	850369	HAC1	ADP1	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P13434	Q04120	852260	852064	HAP3	TSA2	reverse transcription pcr	12614847,24170807	Saccharomyces cerevisiae	Yeastract
P19880	Q03465	855005	851542	YAP1	RPN4	array technology,array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,full identification by RNA sequencing,reverse transcription pcr	26389527,18627600,16880382,18086556,24170807,30025855	Saccharomyces cerevisiae	Yeastract
P36148	P32837	853941	851317	GPT2	UGA4	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,full identification by RNA sequencing,northern blot,quantitative reverse transcription pcr,tag visualisation by enzyme assay	29058647,17975075,26899143,11137008,24170807,19380492,8622686,29620523	Saccharomyces cerevisiae	Yeastract
P24813	Q12224	852033	856016	CAD1	RLM1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,quantitative reverse transcription pcr	26296316,20385592,18287073,24170807	Saccharomyces cerevisiae	Yeastract
P06774	P07143	852614	854231	HAP2	CYT1	chromatin immunoprecipitation array,tag visualisation by enzyme assay	12399584,1316998,24170807	Saccharomyces cerevisiae	Yeastract
P12383	P47079	852871	853447	PDR1	CCT8	array technology/partial DNA sequence identification by hybridization,electrophoretic mobility-based method	11683503,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P38889	P47143	856613	853569	SKN7	ADO1	Identification by mass spectrometry,chromatin immunoprecipitation array	19487574,27373166,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P32386	850513	850678	HAC1	YBT1	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P43574	P40458	850523	854660	GAT1	ATG32	reverse transcription pcr	24170807,26649943	Saccharomyces cerevisiae	Yeastract
P41546	P47126	850513	853542	HAC1	-	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P32896	P06169	851654	850733	PDC2	PDC1	northern blot,tag visualisation by enzyme assay	8264540,24170807	Saccharomyces cerevisiae	Yeastract
P38889	P33442	856613	851162	SKN7	RPS1A	Identification by mass spectrometry,chromatin immunoprecipitation array	19487574,27373166,24170807	Saccharomyces cerevisiae	Yeastract
P32432	P35177	851119	852373	SFP1	SPT7	tag visualisation by enzyme assay	30740854,24170807	Saccharomyces cerevisiae	Yeastract
P32896	P16467	851654	850825	PDC2	PDC5	array technology/partial DNA sequence identification by hybridization,electrophoretic mobility shift assay,tag visualisation by enzyme assay	22404710,8264540,16850348,24170807	Saccharomyces cerevisiae	Yeastract
P18494	P03069	856763	856709	GLN3	GCN4	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,tag visualisation by enzyme assay	12399584,15343339,20385592,24170807,20233714	Saccharomyces cerevisiae	Yeastract
P46954	P33303	853356	853558	SIP4	SFC1	chromatin immunoprecipitation array,reverse transcription pcr	25123508,15343339,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P47116	851542	853522	RPN4	PTK2	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P41546	Q99297	850513	854397	HAC1	ODC2	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P20134	P35193	854307	854072	SFL1	ATG19	reverse transcription pcr	24170807,26649943	Saccharomyces cerevisiae	Yeastract
P13574	P08640	856484	854836	STE12	FLO11	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,northern blot,quantitative reverse transcription pcr,reverse transcription pcr,tag visualisation by enzyme assay,tag visualisation by fluorescence	20118212,15169867,15466424,10535956,17638031,20237471,12455687,20333241,16449570,10064592,24170807,19502582,16618799,24732795,19159457	Saccharomyces cerevisiae	Yeastract
P41546	P28004	850513	851201	HAC1	PRP45	footprinting	30016623,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P25036	851542	854164	RPN4	YSP3	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P53968	P09368	855704	850833	CRZ1	PUT1	tag visualisation by fluorescence	18818649,24170807	Saccharomyces cerevisiae	Yeastract
P26798	P06197	851701	856229	INO2	PIS1	reverse transcription pcr	21538248,24170807	Saccharomyces cerevisiae	Yeastract
P38889	P38934	856613	854373	SKN7	BFR1	Identification by mass spectrometry	27373166,24170807	Saccharomyces cerevisiae	Yeastract
P53968	Q05031	855704	855278	CRZ1	DFG5	array technology,array technology/partial DNA sequence identification by hybridization,tag visualisation by fluorescence	24170807,12058033,18818649,16880382	Saccharomyces cerevisiae	Yeastract
P54785	P12866	855092	853671	MOT3	STE6	reverse transcription pcr	24170807,20439496	Saccharomyces cerevisiae	Yeastract
P27705	P39113	852848	855323	MIG1	CAT8	array technology/partial DNA sequence identification by hybridization,quantitative reverse transcription pcr,tag visualisation by enzyme assay	8710504,19164565,19087243,27770224,24170807,10628872,7891685,9111319,11563983	Saccharomyces cerevisiae	Yeastract
P39113	P30952	855323	855606	CAT8	MLS1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,experimental interaction detection,quantitative reverse transcription pcr,reverse transcription pcr	25355315,12676948,17974563,18197247,11024040,26440109,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P33122	850513	854525	HAC1	TYE7	array technology/partial DNA sequence identification by hybridization,footprinting,full identification by RNA sequencing	30016623,24170807,16371132	Saccharomyces cerevisiae	Yeastract
P07269	P07244	851452	852617	PHO2	ADE5,7	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,electrophoretic mobility shift assay,northern blot,tag visualisation by enzyme assay	21119627,15948949,17573544,16215179,20385592,24170807,1495962,9148957	Saccharomyces cerevisiae	Yeastract
P26798	P04076	851701	856411	INO2	ARG4	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,tag visualisation by enzyme assay	12399584,24456840,16880382,30073202,16034810,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P15274	851542	854973	RPN4	AMD1	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,15575969,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P38816	850513	856506	HAC1	TRR2	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P38201	850513	852252	HAC1	-	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P07269	P00044	851452	853507	PHO2	CYC1	array technology/partial DNA sequence identification by hybridization,tag visualisation by enzyme assay	3139496,21119627,24170807	Saccharomyces cerevisiae	Yeastract
Q03465	P43612	851542	850601	RPN4	SAP155	array technology/partial DNA sequence identification by hybridization,experimental interaction detection	21931558,20385592,18627600,24170807	Saccharomyces cerevisiae	Yeastract
P03069	P07245	856709	853118	GCN4	ADE3	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,experimental interaction detection,northern blot	17224918,29628310,19346491,11390663,15343339,16880382,15274137,27924024,21183953,24170807,19525417	Saccharomyces cerevisiae	GTRD,Yeastract
P41546	P40260	850513	853019	HAC1	MEP1	array technology/partial DNA sequence identification by hybridization,footprinting,full identification by RNA sequencing	24170807,30016623,16880382	Saccharomyces cerevisiae	Yeastract
P25302	P20437	856847	855239	SWI4	CLN1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation array,chromatin immunoprecipitation assay,full identification by RNA sequencing,northern blot,tag visualisation by enzyme assay	12399584,11572776,28505153,2142620,9083033,15343339,20385592,16880382,16709784,8846775,11206552,1832338,15965243,19124666,24170807,1832336,1608451	Saccharomyces cerevisiae	Yeastract
P36148	P36148	853941	853941	GPT2	GPT2	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,full identification by RNA sequencing,quantitative reverse transcription pcr,tag visualisation by enzyme assay	9171427,20385592,27908775,24170807,19380492,29620523	Saccharomyces cerevisiae	Yeastract
P52960	P41903	854545	853477	PIP2	TES1	array technology/partial DNA sequence identification by hybridization,northern blot	17551510,24170807,9774671	Saccharomyces cerevisiae	Yeastract
P41546	P38715	850513	856504	HAC1	GRE3	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P0C2J0	850513	856283	HAC1	TY1B-PR2	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P41696	P20438	854280	855819	AZF1	CLN2	northern blot	11839825,24170807	Saccharomyces cerevisiae	Yeastract
P36148	P38067	853941	852291	GPT2	UGA2	full identification by RNA sequencing,quantitative reverse transcription pcr	24170807,26899143,29620523	Saccharomyces cerevisiae	Yeastract
P07269	P27616	851452	851272	PHO2	ADE1	array technology/partial DNA sequence identification by hybridization,chromatin immunoprecipitation assay,tag visualisation by enzyme assay	21119627,15948949,16215179,20385592,24170807,1495962	Saccharomyces cerevisiae	Yeastract
P18494	P38840	856763	856539	GLN3	ARO9	array technology/partial DNA sequence identification by hybridization,quantitative reverse transcription pcr,reverse transcription pcr,tag visualisation by enzyme assay	27908775,24170807,23651256,10207060,20233714	Saccharomyces cerevisiae	Yeastract
P38889	P00931	856613	852858	SKN7	TRP5	Identification by mass spectrometry	27373166,24170807	Saccharomyces cerevisiae	Yeastract
P32862	P08640	853828	854836	RGT1	FLO11	northern blot	25009170,24170807	Saccharomyces cerevisiae	Yeastract
P41546	P47034	850513	853368	HAC1	ICS3	footprinting,full identification by RNA sequencing	30016623,24170807	Saccharomyces cerevisiae	Yeastract
P61829	P17709	24573116,854584	850317	OLI1	GLK1	experimental interaction detection	21119627,24170807	Saccharomyces cerevisiae	Yeastract
P07272	P28272	850701	853664	PPR1	URA1	array technology/partial DNA sequence identification by hybridization,footprinting,quantitative reverse transcription pcr	26479519,2204810,20385592,24170807	Saccharomyces cerevisiae	Yeastract
P32389	P53871	855620	855530	MET4	DUG3	array technology/partial DNA sequence identification by hybridization,reverse transcription pcr	22170048,19940020,24170807	Saccharomyces cerevisiae	Yeastract
Q05958	P33302	850928	854324	ECM22	PDR5	northern blot	24170807,11943786	Saccharomyces cerevisiae	Yeastract
P07269	P61829	851452	24573116,854584	PHO2	OLI1	northern blot	2671650,24170807	Saccharomyces cerevisiae	Yeastract
