uniprotAC.tf,uniprotAC.target,otherAC.tf,otherAC.target,name.tf,name.target,detection.method,pubmedAC,organism,source.database
P91943,P22810,43769,31802,pan,oc,electrophoretic mobility shift assay,19268449;20965965,Drosophila melanogaster,REDfly
P29555,P54733,42037,34924,abd-A,CycE,electrophoretic mobility shift assay,19799999;20965965,Drosophila melanogaster,REDfly
P40427,P54733,32567,34924,exd,CycE,electrophoretic mobility shift assay,19799999;20965965,Drosophila melanogaster,REDfly
Q9U010,Q8SZT4,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q9U010,O15968,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q9U010,Q5U110,-,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q8IMG6,Q8SZT4,43725,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q8IMG6,O15968,43725,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q8IMG6,Q5U110,43725,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O76259,Q8SZT4,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O76259,O15968,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O76259,Q5U110,-,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O61458,Q8SZT4,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O61458,O15968,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O61458,Q5U110,-,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O77069,Q8SZT4,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O77069,O15968,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O77069,Q5U110,-,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q7KPL1,Q8SZT4,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q7KPL1,O15968,-,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q7KPL1,Q5U110,-,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O62609,Q8SZT4,43725,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O62609,O15968,43725,-,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
O62609,Q5U110,43725,42059,Med,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q960G9,Q8SZT4,-,-,brk,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q960G9,O15968,-,-,brk,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q960G9,Q5U110,-,42059,brk,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q9XTN4,Q8SZT4,31665,-,brk,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q9XTN4,O15968,31665,-,brk,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q9XTN4,Q5U110,31665,42059,brk,Dad,DNase I footprinting,20010841;20965965,Drosophila melanogaster,REDfly
Q9VS05,Q9VL05,38766,34379,bin,Hand,electrophoretic mobility shift assay,17511863;20965965,Drosophila melanogaster,REDfly
O46339,Q8MSL0,41273,-,hth,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
O46339,Q9VEV9,41273,41988,hth,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
O46339,O61543,41273,-,hth,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
O46339,E1JIM6,41273,41988,hth,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P14003,P10083,38995,30981,h,ac,electrophoretic mobility shift assay,15893980;12086602;20965965,Drosophila melanogaster,REDfly
P29555,P20350,42037,38168,abd-A,rho,electrophoretic mobility shift assay,18694568;20965965,Drosophila melanogaster,REDfly
P09087,Q9W0K7,47763,38116,Abd-B,bab1,DNase I footprinting;electrophoretic mobility shift assay,18724934;20965965,Drosophila melanogaster,REDfly
P39413,Q04691,40370,39566,Aef1,Fbp1,electrophoretic mobility shift assay,8293980;11493575;20965965,Drosophila melanogaster,REDfly
P02833,P29673,40835,35509,Antp,ap,DNase I footprinting,11262224;20965965,Drosophila melanogaster,REDfly
P02833,Q8MSL0,40835,-,Antp,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P02833,Q9VEV9,40835,41988,Antp,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P02833,O61543,40835,-,Antp,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P02833,E1JIM6,40835,41988,Antp,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
Q01842,P29617,33392,41363,aop,pros,electrophoretic mobility shift assay,11051550;20965965,Drosophila melanogaster,REDfly
Q9W1M6,Q24475,37734,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
O16114,Q24475,-,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
A0A0B4KGD0,Q24475,37734,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
O44203,Q24475,-,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
O17430,Q24475,-,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
Q8MLR4,Q24475,37734,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
O61602,Q24475,37734,40015,apt,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
P48987,P48987,40975,40975,ato,ato,electrophoretic mobility shift assay,15525530;20965965,Drosophila melanogaster,REDfly
P48987,P91654,40975,-,ato,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P48987,P91668,40975,-,ato,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P48987,Q8SZG6,40975,-,ato,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P48987,Q5BHZ7,40975,-,ato,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P48987,Q7JNL9,40975,36001,ato,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P22809,P22809,42537,42537,bap,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
P09081,P18102,40830,43656,bcd,tll,DNase I footprinting;experimental interaction detection;inferred by curator,8443106;16409378;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
Q9VS05,P22809,38766,42537,bin,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
Q9VS05,A1Z877,38766,36089,bin,Ndg,electrophoretic mobility shift assay,22378636;20965965,Drosophila melanogaster,REDfly
Q960G9,P20009,-,37973,brk,Dll,experimental interaction detection,18194655;20965965,Drosophila melanogaster,REDfly
Q9XTN4,P20009,31665,37973,brk,Dll,experimental interaction detection,18194655;20965965,Drosophila melanogaster,REDfly
Q960G9,P07713,-,33432,brk,dpp,electrophoretic mobility shift assay,18068697;20965965,Drosophila melanogaster,REDfly
Q9XTN4,P07713,31665,33432,brk,dpp,electrophoretic mobility shift assay,18068697;20965965,Drosophila melanogaster,REDfly
Q960G9,P14003,-,38995,brk,h,electrophoretic mobility shift assay,15128656;20965965,Drosophila melanogaster,REDfly
Q9XTN4,P14003,31665,38995,brk,h,electrophoretic mobility shift assay,15128656;20965965,Drosophila melanogaster,REDfly
Q960G9,Q24475,-,40015,brk,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
Q9XTN4,Q24475,31665,40015,brk,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
Q960G9,P39770,-,34569,brk,salm,electrophoretic mobility shift assay,15079076;20965965,Drosophila melanogaster,REDfly
Q9XTN4,P39770,31665,34569,brk,salm,electrophoretic mobility shift assay,15079076;20965965,Drosophila melanogaster,REDfly
Q960G9,P25723,-,42945,brk,tld,electrophoretic mobility shift assay,11159907;20965965,Drosophila melanogaster,REDfly
Q9XTN4,P25723,31665,42945,brk,tld,electrophoretic mobility shift assay,11159907;20965965,Drosophila melanogaster,REDfly
Q24206,Q9XYF4,44505,39173,br,Dronc,electrophoretic mobility shift assay,12045184;20965965,Drosophila melanogaster,REDfly
Q01295,Q9XYF4,44505,39173,br,Dronc,electrophoretic mobility shift assay,12045184;20965965,Drosophila melanogaster,REDfly
P20385,Q05825,33692,43829,Cf2,ATPsynbeta,electrophoretic mobility shift assay,16120280;20965965,Drosophila melanogaster,REDfly
M9PDZ5,A1Z877,31678,36089,CHES-1-like,Ndg,electrophoretic mobility shift assay,22378636;20965965,Drosophila melanogaster,REDfly
Q9U1H1,A1Z877,-,36089,CHES-1-like,Ndg,electrophoretic mobility shift assay,22378636;20965965,Drosophila melanogaster,REDfly
Q9W3Q5,A1Z877,31678,36089,CHES-1-like,Ndg,electrophoretic mobility shift assay,22378636;20965965,Drosophila melanogaster,REDfly
P19538,P07713,43767,33432,ci,dpp,electrophoretic mobility shift assay,10409512;20965965,Drosophila melanogaster,REDfly
P19538,P14003,43767,38995,ci,h,electrophoretic mobility shift assay,15128656;20965965,Drosophila melanogaster,REDfly
P29747,Q9U5L1,39682,47251,CrebA,Gtp-bp,genetic interference,15901661;20965965,Drosophila melanogaster,REDfly
P10180,Q8MSL0,44540,-,ct,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P10180,Q9VEV9,44540,41988,ct,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P10180,O61543,44540,-,ct,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P10180,E1JIM6,44540,41988,ct,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
Q9VGZ5,P07663,44669,31251,cwo,per,electrophoretic mobility shift assay,17555964;20965965,Drosophila melanogaster,REDfly
P11420,P48987,34413,40975,da,ato,electrophoretic mobility shift assay,15525530;20965965,Drosophila melanogaster,REDfly
P11420,P91654,34413,-,da,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P11420,P91668,34413,-,da,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P11420,Q8SZG6,34413,-,da,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P11420,Q5BHZ7,34413,-,da,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P11420,Q7JNL9,34413,36001,da,dap,electrophoretic mobility shift assay,17296729;20965965,Drosophila melanogaster,REDfly
P23792,Q24475,32579,40015,disco,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
P20009,Q8MSL0,37973,-,Dll,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P20009,Q9VEV9,37973,41988,Dll,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P20009,O61543,37973,-,Dll,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P20009,E1JIM6,37973,41988,Dll,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P15330,P15330,35047,35047,dl,dl,experimental interaction detection,20504768;20965965,Drosophila melanogaster,REDfly
M9PBY6,Q24475,39039,40015,Doc1,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
Q8MYX3,Q24475,-,40015,Doc1,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
Q9U8L5,Q24475,39039,40015,Doc1,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
M9PBY6,P08953,39039,43222,Doc1,Tl,DNase I footprinting;experimental interaction detection,15870289;20965965,Drosophila melanogaster,REDfly
Q8MYX3,P08953,-,43222,Doc1,Tl,DNase I footprinting;experimental interaction detection,15870289;20965965,Drosophila melanogaster,REDfly
Q9U8L5,P08953,39039,43222,Doc1,Tl,DNase I footprinting;experimental interaction detection,15870289;20965965,Drosophila melanogaster,REDfly
O96083,O62526,-,32008,Dref,Ant2,electrophoretic mobility shift assay,17535248;20965965,Drosophila melanogaster,REDfly
Q86NK7,O62526,-,32008,Dref,Ant2,electrophoretic mobility shift assay,17535248;20965965,Drosophila melanogaster,REDfly
Q94883,O62526,34328,32008,Dref,Ant2,electrophoretic mobility shift assay,17535248;20965965,Drosophila melanogaster,REDfly
O96083,P17336,-,40048,Dref,Cat,electrophoretic mobility shift assay,14982956;20965965,Drosophila melanogaster,REDfly
Q86NK7,P17336,-,40048,Dref,Cat,electrophoretic mobility shift assay,14982956;20965965,Drosophila melanogaster,REDfly
Q94883,P17336,34328,40048,Dref,Cat,electrophoretic mobility shift assay,14982956;20965965,Drosophila melanogaster,REDfly
O96083,P35600,-,40607,Dref,Gnf1,electrophoretic mobility shift assay,17381512;20965965,Drosophila melanogaster,REDfly
Q86NK7,P35600,-,40607,Dref,Gnf1,electrophoretic mobility shift assay,17381512;20965965,Drosophila melanogaster,REDfly
Q94883,P35600,34328,40607,Dref,Gnf1,electrophoretic mobility shift assay,17381512;20965965,Drosophila melanogaster,REDfly
P23023,Q9VTD4,40940,44006,dsx,Fad2,electrophoretic mobility shift assay,19652700;20965965,Drosophila melanogaster,REDfly
P23023,Q9NFT2,40940,-,dsx,Fad2,electrophoretic mobility shift assay,19652700;20965965,Drosophila melanogaster,REDfly
Q9VDW3,Q7JUW8,42327,36250,Dys,Dmel\CG13196,experimental interaction detection,17652079;20965965,Drosophila melanogaster,REDfly
Q0KI50,Q7JUW8,42327,36250,Dys,Dmel\CG13196,experimental interaction detection,17652079;20965965,Drosophila melanogaster,REDfly
Q7YU29,Q7JUW8,42327,36250,Dys,Dmel\CG13196,experimental interaction detection,17652079;20965965,Drosophila melanogaster,REDfly
Q9VDW6,Q7JUW8,42327,36250,Dys,Dmel\CG13196,experimental interaction detection,17652079;20965965,Drosophila melanogaster,REDfly
Q24533,P10083,39570,30981,D,ac,electrophoretic mobility shift assay,17360441;20965965,Drosophila melanogaster,REDfly
Q24533,P06602,39570,36039,D,eve,electrophoretic mobility shift assay,9622621;20965965,Drosophila melanogaster,REDfly
Q27368,Q24106,42550,40009,E2f1,hid,electrophoretic mobility shift assay,19100727;20965965,Drosophila melanogaster,REDfly
P34021,P17672,35540,39999,EcR,Eip75B,electrophoretic mobility shift assay,19340940;20965965,Drosophila melanogaster,REDfly
P34021,P13055,35540,39999,EcR,Eip75B,electrophoretic mobility shift assay,19340940;20965965,Drosophila melanogaster,REDfly
P34021,P17671,35540,39999,EcR,Eip75B,electrophoretic mobility shift assay,19340940;20965965,Drosophila melanogaster,REDfly
P18488,Q24475,41697,40015,ems,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
P02836,P20009,36240,37973,en,Dll,electrophoretic mobility shift assay,15470419;20965965,Drosophila melanogaster,REDfly
P02836,Q24475,36240,40015,en,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
P40427,P20009,32567,37973,exd,Dll,electrophoretic mobility shift assay,12408801;20965965,Drosophila melanogaster,REDfly
P40427,P10105,32567,40817,exd,lab,electrophoretic mobility shift assay,9405369;20965965,Drosophila melanogaster,REDfly
P40427,P20350,32567,38168,exd,rho,electrophoretic mobility shift assay,18694568;20965965,Drosophila melanogaster,REDfly
P40427,Q8MSL0,32567,-,exd,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P40427,Q9VEV9,32567,41988,exd,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P40427,O61543,32567,-,exd,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
P40427,E1JIM6,32567,41988,exd,ss,electrophoretic mobility shift assay,20727877;20965965,Drosophila melanogaster,REDfly
O18381,P48987,43812,40975,ey,ato,electrophoretic mobility shift assay,17108002;20965965,Drosophila melanogaster,REDfly
O18381,Q05201,43812,33916,ey,eya,electrophoretic mobility shift assay,16533912;20965965,Drosophila melanogaster,REDfly
O18381,Q95RW8,43812,44108,ey,Optix,electrophoretic mobility shift assay,16533912;20965965,Drosophila melanogaster,REDfly
O18381,Q9W3W5,43812,31617,ey,shf,electrophoretic mobility shift assay,16533912;20965965,Drosophila melanogaster,REDfly
O18381,Q27350,43812,35662,ey,so,DNase I footprinting;array technology;electrophoretic mobility shift assay;inferred by curator;one hybrid,10207149;16533912;22037703;11830564;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
O18381,Q9VFE3,43812,45247,ey,VhaPPA1-1,electrophoretic mobility shift assay,16533912;20965965,Drosophila melanogaster,REDfly
P14734,P14734,43383,43383,fkh,fkh,electrophoretic mobility shift assay,11518505;20965965,Drosophila melanogaster,REDfly
P14734,P23938,43383,31300,fkh,ng1,electrophoretic mobility shift assay,11118881;20965965,Drosophila melanogaster,REDfly
P14734,P02840,43383,39288,fkh,Sgs3,electrophoretic mobility shift assay,9106163;8710511;20965965,Drosophila melanogaster,REDfly
P33244,P02835,40045,40834,ftz-f1,ftz,DNase I footprinting;electrophoretic mobility shift assay;inferred by curator,11520662;8164672;2001679;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
P02835,P02835,40834,40834,ftz,ftz,DNase I footprinting;electrophoretic mobility shift assay;inferred by curator,1640455;11520662;1976571;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
Q27403,Q24475,34277,40015,gcm,rpr,electrophoretic mobility shift assay,19282966;20965965,Drosophila melanogaster,REDfly
P13360,Q9W349,42210,31883,gl,lz,electrophoretic mobility shift assay,14597205;20965965,Drosophila melanogaster,REDfly
O46339,P54733,41273,34924,hth,CycE,electrophoretic mobility shift assay,19799999;20965965,Drosophila melanogaster,REDfly
O46339,P20009,41273,37973,hth,Dll,electrophoretic mobility shift assay,12408801;20965965,Drosophila melanogaster,REDfly
O46339,P10105,41273,40817,hth,lab,electrophoretic mobility shift assay,10529430;20965965,Drosophila melanogaster,REDfly
O46339,P20350,41273,38168,hth,rho,electrophoretic mobility shift assay,18694568;20965965,Drosophila melanogaster,REDfly
Q7KUL4,P10083,2768974,30981,ind,ac,electrophoretic mobility shift assay,17360441;20965965,Drosophila melanogaster,REDfly
O96620,P10083,-,30981,ind,ac,electrophoretic mobility shift assay,17360441;20965965,Drosophila melanogaster,REDfly
Q963L0,P10083,-,30981,ind,ac,electrophoretic mobility shift assay,17360441;20965965,Drosophila melanogaster,REDfly
Q7KUL4,Q7KUL4,2768974,2768974,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
Q7KUL4,O96620,2768974,-,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
Q7KUL4,Q963L0,2768974,-,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
O96620,Q7KUL4,-,2768974,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
O96620,O96620,-,-,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
O96620,Q963L0,-,-,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
Q963L0,Q7KUL4,-,2768974,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
Q963L0,O96620,-,-,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
Q963L0,Q963L0,-,-,ind,ind,experimental interaction detection,17224261;20965965,Drosophila melanogaster,REDfly
Q9XTP7,A1Z877,41265,36089,jumu,Ndg,electrophoretic mobility shift assay,22378636;20965965,Drosophila melanogaster,REDfly
P10734,P06602,40287,36039,kni,eve,DNase I footprinting;electrophoretic mobility shift assay;inferred by curator,21865322;8626035;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
P56721,P56721,45318,45318,kn,kn,experimental interaction detection,20056681;20965965,Drosophila melanogaster,REDfly
P10105,P10105,40817,40817,lab,lab,electrophoretic mobility shift assay,10529430;9405369;20965965,Drosophila melanogaster,REDfly
Q9W349,Q7K2W6,31883,37044,lz,PPO1,experimental interaction detection,17417793;20965965,Drosophila melanogaster,REDfly
Q9W349,P29617,31883,41363,lz,pros,electrophoretic mobility shift assay,11051550;20965965,Drosophila melanogaster,REDfly
P42003,Q10714,33529,34805,Mad,Ance,DNase I footprinting;electrophoretic mobility shift assay;inferred by curator,15728670;15341741;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
P42003,P22809,33529,42537,Mad,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
P42003,Q960G9,33529,-,Mad,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
P42003,Q9XTN4,33529,31665,Mad,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
P42003,Q9VD99,33529,-,Mad,C15,electrophoretic mobility shift assay,17092951;20965965,Drosophila melanogaster,REDfly
P42003,Q7JQ85,33529,-,Mad,C15,electrophoretic mobility shift assay,17092951;20965965,Drosophila melanogaster,REDfly
P42003,Q7KS72,33529,42544,Mad,C15,electrophoretic mobility shift assay,17092951;20965965,Drosophila melanogaster,REDfly
P42003,Q8SZT4,33529,-,Mad,Dad,electrophoretic mobility shift assay,20010841;20965965,Drosophila melanogaster,REDfly
P42003,O15968,33529,-,Mad,Dad,electrophoretic mobility shift assay,20010841;20965965,Drosophila melanogaster,REDfly
P42003,Q5U110,33529,42059,Mad,Dad,electrophoretic mobility shift assay,20010841;20965965,Drosophila melanogaster,REDfly
P42003,P20009,33529,37973,Mad,Dll,experimental interaction detection,18194655;20965965,Drosophila melanogaster,REDfly
P42003,P07713,33529,33432,Mad,dpp,electrophoretic mobility shift assay,18068697;20965965,Drosophila melanogaster,REDfly
P42003,P14003,33529,38995,Mad,h,electrophoretic mobility shift assay,15128656;20965965,Drosophila melanogaster,REDfly
P42003,P39770,33529,34569,Mad,salm,electrophoretic mobility shift assay,17855427;20965965,Drosophila melanogaster,REDfly
Q9U010,Q10714,-,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay,15341741;15728670;20965965,Drosophila melanogaster,REDfly
Q8IMG6,Q10714,43725,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay;inferred by curator,15728670;15341741;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
O76259,Q10714,-,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay,15341741;15728670;20965965,Drosophila melanogaster,REDfly
O61458,Q10714,-,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay,15341741;15728670;20965965,Drosophila melanogaster,REDfly
O77069,Q10714,-,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay,15341741;15728670;20965965,Drosophila melanogaster,REDfly
Q7KPL1,Q10714,-,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay,15341741;15728670;20965965,Drosophila melanogaster,REDfly
O62609,Q10714,43725,34805,Med,Ance,DNase I footprinting;electrophoretic mobility shift assay;inferred by curator,15728670;15341741;26578589;20965965,Drosophila melanogaster,ORegAnno;REDfly
Q9U010,P22809,-,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
Q8IMG6,P22809,43725,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
O76259,P22809,-,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
O61458,P22809,-,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
O77069,P22809,-,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
Q7KPL1,P22809,-,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
O62609,P22809,43725,42537,Med,bap,DNase I footprinting,15750188;20965965,Drosophila melanogaster,REDfly
Q9U010,Q960G9,-,-,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
Q9U010,Q9XTN4,-,31665,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
Q8IMG6,Q960G9,43725,-,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
Q8IMG6,Q9XTN4,43725,31665,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
O76259,Q960G9,-,-,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
O76259,Q9XTN4,-,31665,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
O61458,Q960G9,-,-,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
O61458,Q9XTN4,-,31665,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
O77069,Q960G9,-,-,Med,brk,electrophoretic mobility shift assay,18506030;17610966;20965965,Drosophila melanogaster,REDfly
