Uniprot ID TF,Uniprot ID target,NCBI Gene ID TF,NCBI Gene ID target,Protein name TF,Protein name target,Detection method,Publication (pubmed),Organism,Source database
P10275,P38936,367,1026,AR,CDKN1A,chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,16281084;10076995;20610535,Homo sapiens,GTRD;TRED;HTRI;TRRUST
P10275,P35222,367,1499,AR,CTNNB1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,18535113;20610535,Homo sapiens,GTRD;HTRI;TRRUST
P10275,P20815,367,1577,AR,CYP3A5,chromatin immunoprecipitation assay;electrophoretic mobility shift assay,17116727,Homo sapiens,GTRD;HTRI;ReMap
P10275,P11511,367,1588,AR,CYP19A1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q02318,367,1593,AR,CYP27A1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P07108,367,1622,AR,DBI,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P24522,367,1647,AR,GADD45A,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P05305,367,1906,AR,EDN1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P00533,367,1956,AR,EGFR,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,11556855;20610535;21613411;18971253,Homo sapiens,GTRD;HTRI;TRED;PAZAR;ORegAnno;TRRUST;ReMap
P10275,P03372,367,2099,AR,ESR1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q92731,367,2100,AR,ESR2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P14921,367,2113,AR,ETS1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI
P10275,P50549,367,2115,AR,ETV1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,19789348;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P00740,367,2158,AR,F9,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P05413,367,2170,AR,FABP3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P33121,367,2180,AR,ACSL1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P09038,367,2247,AR,FGF2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,TRED;HTRI;ReMap
P10275,Q92913,367,2258,AR,FGF13,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P11362,367,2260,AR,FGFR1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q14192,367,2274,AR,FHL2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,TRED;HTRI;ReMap
P10275,P02751,367,2335,AR,FN1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;21055159,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P35557,367,2645,AR,GCK,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P17174,367,2805,AR,GOT1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P84243,367,3020;3021,AR,H3F3A,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,O75330,367,3161,AR,HMMR,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,18174258;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P09601,367,3162,AR,HMOX1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,11965035;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P31273,367,3224,AR,HOXC8,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P21815,367,3381,AR,IBSP,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,Q16666,367,3428,AR,IFI16,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16494870;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P17181,367,3454,AR,IFNAR1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P05019,367,3479,AR,IGF1,chromatin immunoprecipitation assay;electrophoretic mobility shift assay,17363459,Homo sapiens,GTRD;HTRI;ReMap
P10275,P08069,367,3480,AR,IGF1R,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,17202144;20610535;15033751,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P17936,367,3486,AR,IGFBP3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,23859805;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P24593,367,3488,AR,IGFBP5,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P05231,367,3569,AR,IL6,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P40189,367,3572,AR,IL6ST,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P10145,367,3576,AR,CXCL8,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,O43187,367,3656,AR,IRAK2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P05412,367,3725,AR,JUN,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20148354;20610535,Homo sapiens,GTRD;TRED;HTRI;TRRUST;ReMap
P10275,P84022,367,4088,AR,SMAD3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI
P10275,O15344,367,4281,AR,MID1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;24913494,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P08253,367,4313,AR,MMP2,chromatin immunoprecipitation array;chromatin immunoprecipitation assay;electrophoretic mobility shift assay,16888681;20610535,Homo sapiens,GTRD;HTRI;ReMap
P10275,P10242,367,4602,AR,MYB,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P01106,367,4609,AR,MYC,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,24512546;20610535,Homo sapiens,GTRD;TRED;HTRI;TRRUST;ReMap
P10275,Q14511,367,4739,AR,NEDD9,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P19838,367,4790,AR,NFKB1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,18386814;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P25963,367,4792,AR,NFKBIA,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P05121,367,5054,AR,SERPINE1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P11498,367,5091,AR,PC,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,18497079;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P36955,367,5176,AR,SERPINF1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI
P10275,P36952,367,5268,AR,SERPINB5,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,16304843,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P00750,367,5327,AR,PLAT,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P00749,367,5328,AR,PLAU,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P29590,367,5371,AR,PML,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P37231,367,5468,AR,PPARG,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P02775,367,5473,AR,PPBP,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI
P10275,P17252,367,5578,AR,PRKCA,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P43116,367,5732,AR,PTGER2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P23219,367,5742,AR,PTGS1,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P12272,367,5744,AR,PTHLH,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P18031,367,5770,AR,PTPN1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,22282656;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P10276,367,5914,AR,RARA,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P10826,367,5915,AR,RARB,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P21673,367,6303,AR,SAT1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P28370,367,6594,AR,SMARCA1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P51531,367,6595,AR,SMARCA2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q07889,367,6654,AR,SOS1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q13586,367,6786,AR,STIM1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,21432868;20610535,Homo sapiens,HTRI;TRRUST;ReMap
P10275,P20226,367,6908,AR,TBP,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;9238003,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,Q9NQB0,367,6934,AR,TCF7L2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,12799378;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P01266,367,7038,AR,TG,inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,HTRI;TRED
P10275,P61812,367,7042,AR,TGFB2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P07101,367,7054,AR,TH,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16356647;20610535,Homo sapiens,HTRI;TRRUST;ReMap
P10275,Q07157,367,7082,AR,TJP1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,18535113;20610535,Homo sapiens,GTRD;HTRI;TRRUST
P10275,O15393,367,7113,AR,TMPRSS2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,23192983;20610535;20308527;21761340,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P20333,367,7133,AR,TNFRSF1B,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,TRED;HTRI;ReMap
P10275,Q9UHF7,367,7227,AR,TRPS1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,15613454;20610535,Homo sapiens,GTRD;TRED;HTRI;TRRUST;ReMap
P10275,Q92574,367,7248,AR,TSC1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,21036700;20610535,Homo sapiens,HTRI;TRRUST;ReMap
P10275,P49815,367,7249,AR,TSC2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,21036700;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,Q05086,367,7337,AR,UBE3A,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P30291,367,7465,AR,WEE1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16281084;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,P78543,367,7832,AR,BTG2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16281084;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,Q9Y6Q9,367,8202,AR,NCOA3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q15788,367,8648,AR,NCOA1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P63313,367,9168,AR,TMSB10,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,O95864,367,9415,AR,FADS2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,O75881,367,9420,AR,CYP7B1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16630558;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,O75173,367,9507,AR,ADAMTS4,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P20393,367,9572,AR,NR1D1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,O75376,367,9611,AR,NCOR1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI
P10275,Q9Y618,367,9612,AR,NCOR2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q99967,367,10370,AR,CITED2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q15596,367,10499,AR,NCOA2,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q12796,367,10957,AR,PNRC1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535;10894149,Homo sapiens,GTRD;TRED;HTRI;TRRUST;ReMap
P10275,O95251,367,11143,AR,KAT7,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,P53370,367,11162,AR,NUDT6,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q14686,367,23054,AR,NCOA6,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q9Y6P5,367,27244,AR,SESN1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16751804;20610535,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,Q96A54,367,51094,AR,ADIPOR1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q9BY76,367,51129,AR,ANGPTL4,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q969W9,367,56937,AR,PMEPA1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,16213525;20610535;18703514;17075604,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
P10275,Q9ULJ6,367,57178,AR,ZMIZ1,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI;ReMap
P10275,Q9BX79,367,64220,AR,STRA6,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,20610535,Homo sapiens,GTRD;TRED;HTRI
P10275,Q9H8P0,367,79644,AR,SRD5A3,chromatin immunoprecipitation assay;inferred by curator;chromatin immunoprecipitation array,22194926;20610535,Homo sapiens,HTRI;TRRUST;ReMap
P27540,Q16678,405,1545,ARNT,CYP1B1,inferred by curator;electrophoretic mobility shift assay,19287966;12376470;12801909;24299737;21742528;19255421;19376845;16115918,Homo sapiens,HTRI;TRRUST
P27540,P19224,405,54578,ARNT,UGT1A6,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,20854796;9466822,Homo sapiens,HTRI;TRRUST;ReMap
P50553,P29122,429,5046,ASCL1,PCSK6,inferred by curator;electrophoretic mobility shift assay,11736660,Homo sapiens,HTRI;TRRUST
Q15911,P98088,463,4586,ZFHX3,MUC5AC,chromatin immunoprecipitation assay;inferred by curator,17330845,Homo sapiens,HTRI;TRRUST
P18846,P10415,466,596,ATF1,BCL2,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,10542244,Homo sapiens,TRED;HTRI;TRRUST;ReMap
P18846,P61812,466,7042,ATF1,TGFB2,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,11776974,Homo sapiens,TRED;HTRI;TRRUST;ReMap
P18846,Q16880,466,7368,ATF1,UGT8,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,15229398,Homo sapiens,TRED;HTRI;ReMap
P18846,P62805,466,121504;554313;8294;8359;8360;8361;8362;8363;8364;8365;8366;8367;8368;8370,ATF1,HIST1H4A,chromatin immunoprecipitation assay;electrophoretic mobility shift assay;DNase I footprinting,7779811,Homo sapiens,GTRD;HTRI;ReMap
P18847,P08243,467,440,ATF3,ASNS,chromatin immunoprecipitation assay;inferred by curator,12881527;15385533;18840095,Homo sapiens,TRED;HTRI;TRRUST;ReMap
P18847,P01130,467,3949,ATF3,LDLR,chromatin immunoprecipitation assay;inferred by curator,21294679,Homo sapiens,HTRI;TRRUST;ReMap
P18847,P13501,467,6352,ATF3,CCL5,inferred by curator;electrophoretic mobility shift assay,10760799,Homo sapiens,HTRI;TRRUST
P18848,P08243,468,440,ATF4,ASNS,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,23403946;17276738;11960987;16164412;15385533;18840095,Homo sapiens,TRED;HTRI;TRRUST;ReMap
P18848,P17676,468,1051,ATF4,CEBPB,chromatin immunoprecipitation assay;inferred by curator,16026328,Homo sapiens,HTRI;TRRUST
P18848,P35354,468,5743,ATF4,PTGS2,chromatin immunoprecipitation assay;inferred by curator;affinity technology,21244365;12057991,Homo sapiens,GTRD;TRED;HTRI;TRRUST
P38398,P04798,672,1543,BRCA1,CYP1A1,chromatin immunoprecipitation assay;inferred by curator,16567799,Homo sapiens,HTRI;TRRUST;ReMap
P38398,Q16678,672,1545,BRCA1,CYP1B1,chromatin immunoprecipitation assay;inferred by curator,16567799,Homo sapiens,HTRI;TRRUST
P38398,P11511,672,1588,BRCA1,CYP19A1,chromatin immunoprecipitation assay;inferred by curator,21087664;16940443;19445691,Homo sapiens,HTRI;TRRUST
Q13887,O15392,688,332,KLF5,BIRC5,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,16595680,Homo sapiens,HTRI;TRRUST;ReMap
Q13950,P03372,860,2099,RUNX2,ESR1,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,17350616,Homo sapiens,HTRI;TRRUST
Q13950,P21815,860,3381,RUNX2,IBSP,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,23485603;16000302;17956871,Homo sapiens,HTRI;TRRUST;ReMap
Q01196,P07288,861,354,RUNX1,KLK3,chromatin immunoprecipitation assay;inferred by curator,16237704,Homo sapiens,HTRI;TRRUST
P47902,Q02487,1044,1824,CDX1,DSC2,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,18819935,Homo sapiens,HTRI;TRRUST
Q99626,Q02487,1045,1824,CDX2,DSC2,chromatin immunoprecipitation assay;inferred by curator;electrophoretic mobility shift assay,18819935,Homo sapiens,GTRD;HTRI;TRRUST;ReMap
