Protein name,Uniprot ID,NCBI Gene ID,Function,Small-scale evidence,Number of interactions
Rbm48,Q561R3,296840,target gene,No,10
Utp4,Q5I0C9,291987,target gene,No,5
-,A0A0G2K9A8,-,target gene,No,1
Lars,Q5PPJ6,291624,target gene,No,12
Akt3,A0A0G2JXD7,-,target gene,No,8
Kcnj14,O70596,276720,target gene,No,1
Gon4l,A0A0G2K0W6,499653,target gene,No,10
Acot7,Q64559,26759,target gene,No,11
Stard4,D3Z9I9,291699,target gene,No,12
Tcf12,P51514,25720,target gene,No,12
Caprin1,Q5M9G3,362173,target gene,No,8
Tgfbrap1,A0A0G2JV19,301373,target gene,No,10
Yaf2,D3ZII7,-,target gene,No,8
Septin11,B3GNI6,305227,target gene,No,9
-,Q6P6G2,294311,target gene,No,15
Mmp16,F1M7F5,-,target gene,No,5
Arl6,B1WC73,363760,target gene,No,7
Dnajb1,D3ZUU5,361384,target gene,No,8
Clec16a,A0A0G2KA14,-,target gene,No,9
Cmya5,M0R557,688915,target gene,No,5
Zdhhc6,A0A0G2K7F3,-,target gene,No,9
Atxn10,Q9ER24,170821,target gene,No,7
FABP12,B7SUM8,499570,target gene,No,5
Usp16,Q2KJ09,288306,target gene,No,8
Mmgt1,B5DF51,302864,target gene,No,7
Ranbp1,D4A2G9,360739,target gene,No,13
Map3k10,D3ZG83,308463,target gene,No,9
Ciz1,F1LV60,296639,target gene,No,11
Nufip1,Q641W3,364430,target gene,No,5
Trim13,Q5M7V1,364398,target gene,No,6
Zscan29,D3ZPM6,-,target gene,No,6
Spsb3,D3ZVU8,302981,target gene,No,15
Mfhas1,D3ZJL1,306508,target gene,No,7
Sat1,Q6P9U6,302642,target gene,No,6
Nicn1,Q3T1K9,619581,target gene,No,8
Piga,D4AAY7,363464,target gene,No,5
Marcks,F1LMW7,25603,target gene,No,12
Rilp,D3ZGA5,287531,target gene,No,5
Selenos,A0A0G2K953,-,target gene,No,7
Sirt2,Q5RJQ4,361532,target gene,No,11
Tmem41b,Q5FVN2,361626,target gene,No,12
Pcdhac1,Q767H8,393091,target gene,No,4
Rwdd3,P0C7N0,65026,target gene,No,8
Smad7,A0A0G2JSQ5,81516,target gene,No,12
Yes1,F1LM93,-,target gene,No,7
Il10rb,D3ZM36,304091,target gene,No,4
Gmppb,D4A746,363145,target gene,No,7
Pik3c2b,D3ZVF3,289021,target gene,No,5
Mrpl4,D4A131,363023,target gene,No,11
-,F1LVK8,-,target gene,No,4
Rarb,D3ZFD9,24706,target gene,No,8
Eef2kmt,D3Z8P8,302931,target gene,No,8
Galt,P43424,298003,target gene,No,3
Akap17a,F1MAF2,288526,target gene,No,9
-,D4A7L5,-,target gene,No,5
Zdhhc24,Q2TGI5,293665,target gene,No,6
Wee1,Q63802,308937,target gene,No,11
Mrto4,F1LTU4,298586,target gene,No,7
Tmem62,D3ZIW4,311350,target gene,No,10
-,D3ZI75,-,target gene,No,1
-,Q6AXP1,290615,target gene,No,13
Vdac3,A0A0G2JSR0,-,target gene,No,16
Fam193a,D3ZIG8,305452,target gene,No,8
Stx2,G3V632,25130,target gene,No,9
Pawr,G3V6S1,64513,target gene,No,5
Mkks,Q5XI30,311456,target gene,No,15
LOC100909474,Q4KLG0,100909474;288031,target gene,No,10
Faap100,D3ZX03,303742,target gene,No,11
Ywhae,P62260,29753,target gene,No,11
Mlxip,F1M051,-,target gene,No,9
Dysf,A0A0G2K7B6,312492,target gene,No,3
Prr3,Q6MG07,361788,target gene,No,9
Adamts17,D4ABB3,-,target gene,No,8
Frk,Q62662,79209,target gene,No,2
Ino80d,D3ZTM2,316440,target gene,No,1
Rab5b,A1L1J8,288779,target gene,No,9
Mfsd12,F1M4E3,-,target gene,No,10
Rbm34,Q5M9F1,307956,target gene,No,11
Grn,G3V8V1,29143,target gene,No,9
Arfrp1,Q63055,117051,target gene,No,12
Ino80e,Q6AYH2,293494,target gene,No,10
RGD1561557,A0A0G2JT38,365547,target gene,No,1
Nucks1,Q9EPJ0,64709,target gene,No,10
-,A0A0G2JXW9,-,target gene,No,1
Trim39,Q6MFZ5,309591,target gene,No,8
Phyhd1,Q5BJP9,296621,target gene,No,7
Rab34,A0A0G2K738,-,target gene,No,9
Tmem259,F1LPC5,299608,target gene,No,7
Lgals8,Q6IN24,116641,target gene,No,7
Pkd1,F1MAD3,24650,target gene,No,11
Gpatch2,F7FA15,289362,target gene,No,10
Ess2,Q5EB95,360741,target gene,No,11
Adam11,D4A6U1,360638,target gene,No,8
Zc3h14,D4A652,-,target gene,No,10
Chmp5,Q4QQV8,297995,target gene,No,11
Selenot,A0A0G2K3B2,-,target gene,No,9
Agtr1,P25095,24180,target gene,No,2
Plekhm3,D4A959,316455,target gene,No,7
Ncoa7,F1LWN1,-,target gene,No,6
Safb2,M0R6E6,-,target gene,No,10
Fcho2,D3ZYR1,-,target gene,No,11
Ankmy2,A0A0G2K8N6,314046,target gene,No,9
Eps15l1,D3ZJR1,361120,target gene,No,11
Nlrc4,F1M649,298784,target gene,No,4
Ppfia1,A0A1B0GWS0,293645,target gene,No,9
Rps8,P62243,65136,target gene,No,9
Dnajc7,A0A0G2K435,303536,target gene,No,9
Ddit4l,Q8VD50,100363484;140582,target gene,No,4
Cyp4f40,D3ZTC9,503122,target gene,No,4
Catip,A0A0H2UI37,-,target gene,No,3
Ttc13,A0A0G2JZ94,292095,target gene,No,11
Cars2,B2GV57,361184,target gene,No,7
Zc3h11a,Q0ZFS5,360845,target gene,No,8
Rbfa,A0A0G2K1B0,307235,target gene,No,9
RGD1560212,A0JPQ5,498890,target gene,No,11
Fam168b,D4AEP3,690188,target gene,No,10
Ythdf2,E9PU11,-,target gene,No,10
Ppp1r15a,A0A0G2JSW4,171071,target gene,No,16
Bod1,A0A0H2UHS5,287173,target gene,No,11
Zfp526,M0RAB3,687127,target gene,No,8
Ppig,G3V6Y9,83624,target gene,No,11
Padi2,F1LPA6,-,target gene,No,2
Cdk5,Q03114,140908,target gene,No,14
Ralgds,F1LN84,29622,target gene,No,6
Dpy30,G3V946,286897,target gene,No,10
Eepd1,Q5XI74,315500,target gene,No,7
Rcbtb2,Q6P798,290363,target gene,No,5
Zfp358,D3ZRG3,360754,target gene,No,5
Zfp709,Q99PJ6,266773,target gene,No,9
Slc10a6,Q70EX6,289459,target gene,No,3
Apip,D3ZUI1,295961,target gene,No,10
Birc6,A0A0G2JZ53,-,target gene,No,12
Ago1,D4AC38,313594,target gene,No,9
Srrm1,B2RYB3,313620,target gene,No,12
Gsap,D3ZPQ9,311984,target gene,No,5
Sacs,D4A1D3,305940,target gene,No,6
Irgq,A0A0G2K1U9,292708,target gene,No,10
Mcrs1,G3V9E0,-,target gene,No,7
Adprh,Q02589,25371,target gene,No,13
Zfp277,M0RDU3,298977,target gene,No,11
Pola2,G3V8U6,-,target gene,No,10
Lpl,Q06000,24539,target gene,No,2
Pus10,A0A0G2K0U8,305583,target gene,No,8
Zscan12,A0A0G2K4Z9,266716,target gene,No,12
Serpini1,Q9JLD2,116459,target gene,No,9
Clpx,Q5U2U0,300786,target gene,No,11
Spsb4,B5DF38,300950,target gene,No,10
Ren1,P08424,24715,target gene,No,9
Bcl2l2,O88996,60434,target gene,No,6
Srrd,F1LTK4,-,target gene,No,10
Casp2,P55215,64314,target gene,No,11
Washc2c,F1LPG9,-,target gene,No,11
Arl6ip6,Q68FV2,499798,target gene,No,10
Pitx3,P81062,29609,target gene,No,3
Abca3,A0A0G2K1Q8,302973,target gene,No,9
Ldhb,P42123,24534,target gene,No,7
Mettl18,Q4KM84,304928,target gene,No,12
Ubp1,D4A030,301038,target gene,No,8
Ehhadh,P07896,171142,target gene,No,7
Cramp1,D3ZNU3,-,target gene,No,7
Ift140,F1LY69,100362124,target gene,No,7
Blm,D3ZQW1,-,target gene,No,8
Lpar2,A0A0G2K505,-,target gene,No,3
Tsacc,D3ZH74,361979,target gene,No,10
Nsun2,D4A3S8,361191,target gene,No,11
Ide,P35559,25700,target gene,No,10
Flcn,Q76JQ2,303185,target gene,No,10
Alg8,E9PT91,-,target gene,No,10
Pdss2,Q5U2R1,365592,target gene,No,9
Tmprss12,F1M348,-,target gene,No,4
E2f8,A0A0A0MY11,308607,target gene,No,5
Dus4l,D4A0T1,366593,target gene,No,8
Zbtb9,Q6MGD2,294289,target gene,No,6
Fbxo7,Q68FS3,366854,target gene,No,10
LOC100361664,D3ZUN9,100361664,target gene,No,2
Camkk1,F1LQD2,60341,target gene,No,6
Ascc1,G3V619,294512,target gene,No,7
Plpp3,Q6IMX4,192270,target gene,No,10
Ccdc148,E9PU06,311051,target gene,No,8
Zim1,A0A0G2KA26,308322,target gene,No,1
Idh3g,Q5XIJ3,25179,target gene,No,9
Hectd3,F1LVZ9,313525,target gene,No,7
Rab8b,P70550,266688,target gene,No,5
Casc4,D3ZW58,-,target gene,No,9
Pm20d2,D4AAB5,313130,target gene,No,3
Relb,D4A8H1,-,target gene,No,7
Dcbld2,A0A0G2JWS6,-,target gene,No,8
Rasl11b,Q6IMA7,305302,target gene,No,5
Kif21b,F1M5N7,289397,target gene,No,4
Psmc4,Q63570,117262,target gene,No,12
Elovl1,Q5U2Z8,679532,target gene,No,9
Lrrc20,F1LUD9,499430,target gene,No,6
Polq,D4A628,288079,target gene,No,9
Pradc1,M0R5K7,686393,target gene,No,11
Heatr3,D3ZV81,361375,target gene,No,9
Dguok,D3ZDE4,297389,target gene,No,13
Trub2,Q5XFW2,366012,target gene,No,10
Rbm45,G3V9K8,-,target gene,No,9
Hps5,F1LS35,308598,target gene,No,12
Inpp4a,D3ZBL5,-,target gene,No,7
Ppp1r1c,D3ZSW2,499818,target gene,No,3
Hsbp1,Q8K3X8,286899,target gene,No,11
Gabarapl1,Q0VGK0,689161,target gene,No,10
Tbcd,F1M1D5,100361417,target gene,No,10
Scamp3,E9PTW1,65169,target gene,No,13
Slc12a8,F1M7M6,266733,target gene,No,3
Pmm1,Q5RK25,300089,target gene,No,8
Traf7,B1WBW7,360491,target gene,No,11
Enkd1,D4A243,291975,target gene,No,7
Sh3d19,D3Z8S0,-,target gene,No,9
Ppp1cb,P62142,25594,target gene,No,11
Abcb1b,D4A0Y9,-,target gene,No,12
Mrps18c,D4A4V1,289469,target gene,No,13
Atxn3,O35815,60331,target gene,No,11
Cul2,A0A0G2K761,361258,target gene,No,9
Cit,E9PSL7,83620,target gene,No,3
LOC691354,F1M4W0,-,target gene,No,3
Epm2aip1,F1M471,316021,target gene,No,8
Oxld1,M0R3T0,103693495,target gene,No,7
Rnpc3,Q4G055,691538,target gene,No,14
Nae1,F1M7W7,-,target gene,No,10
Parpbp,Q9EQ10,100310874,target gene,No,9
Sik1,Q9R1U5,59329,target gene,No,9
Zfp64,Q5U2X9,311661,target gene,No,8
Prkca,F1LS98,24680,target gene,No,8
Cldn3,Q63400,65130,target gene,No,4
Rabl3,D4A1C1,360720,target gene,No,7
Dram2,Q5BK09,362011,target gene,No,7
Prkaca,A1L1M0,25636,target gene,No,9
Rheb,M0R3K1,-,target gene,No,12
-,M0R6V0,-,target gene,No,3
Ddb1,G3V8T4,64470,target gene,No,9
Plcg1,G3V845,-,target gene,No,6
Dhodh,Q63707,65156,target gene,No,7
Nadk2,Q1HCL7,365699,target gene,No,10
Mrpl44,Q4G067,301552,target gene,No,11
Zfp951,B5DFF1,100188984,target gene,No,4
Lgr4,Q9Z2H4,286994,target gene,No,13
Htatip2,A0A0G2QC15,292935,target gene,No,3
Spock2,A0A0G2K946,361840,target gene,No,2
Man1c1,D3Z979,362625,target gene,No,7
Pelp1,A0A0G2JSQ9,-,target gene,No,5
Lnx1,B6RHI6,360926,target gene,No,3
Dpagt1,Q6P4Z8,300668,target gene,No,3
Papola,D3ZK96,314417,target gene,No,12
Zc3h3,D3ZKY5,300032,target gene,No,8
Pafah1b3,O35263,114113,target gene,No,6
Hadh,Q9WVK7,113965,target gene,No,5
Dpy19l3,D4A9G5,308519,target gene,No,7
Commd10,Q68FS9,361323,target gene,No,11
Slc9a8,G3V756,-,target gene,No,12
Klf9,G3V7U5,-,target gene,No,8
Dstn,Q7M0E3,502674,target gene,No,9
Mfsd14a,B1H293,100134827;103689987,target gene,No,9
Ric1,D4A224,309306,target gene,No,10
Ube2o,F1M403,-,target gene,No,6
Ankrd9,Q6P755,314457,target gene,No,3
Zc3h4,D3ZVW3,-,target gene,No,11
Xpa,D4A981,298074,target gene,No,7
Ddost,Q641Y0,313648,target gene,No,10
Mgme1,Q5PPI6,296200,target gene,No,15
Cdk19,D3ZDM6,309804,target gene,No,9
Dennd6a,D4A544,306229,target gene,No,10
Sh3glb2,A0A0G2K9P4,311848,target gene,No,5
Klf6,O35819,-,target gene,No,15
Thumpd3,D3ZSV7,500288,target gene,No,12
Pih1d1,Q4V7F5,292898,target gene,No,6
Serinc1,Q7TNK0,294421,target gene,No,10
Lrrk2,F1LNJ1,300160,target gene,No,7
Dhx9,D4A9D6,304859,target gene,No,10
Ftsj3,Q5RJT2,303608,target gene,No,9
Tmem60,D3ZUD9,296761,target gene,No,11
Nle1,B2GV82,303372,target gene,No,9
Wdr53,D4ADI9,498097,target gene,No,11
Klkb1,Q5FVS2,25048,target gene,No,4
Pithd1,D4ABS5,-,target gene,No,12
Znfx1,Q7TP99,296384,target gene,No,14
Syt17,Q62807,192189,target gene,No,9
Mrpl19,D4A4A9,297372,target gene,No,8
Psmd9,G3V9P0,-,target gene,No,1
Mrps21,B2RYT0,689432,target gene,No,9
Npr3,P41740,25339,target gene,No,3
Mrpl12,D3ZXF9,303746,target gene,No,6
Trim41,F1LMK2,303088,target gene,No,8
Noa1,A0A0G2K602,289562,target gene,No,14
Ginm1,D3ZJB2,361448,target gene,No,8
Pkd2,D4A5F1,498328,target gene,No,7
Rnaseh2a,Q5U209,364974,target gene,No,13
Nsun5,G3V660,288595,target gene,No,9
Avl9,D3ZVU6,312371,target gene,No,9
Casp12,A0A0G2K041,-,target gene,No,3
RGD1562747,D3ZPT1,292328,target gene,No,7
Lztfl1,Q562C6,316102,target gene,No,8
Chst15,G3V838,286974,target gene,No,3
Hnrnpul1,D4A962,361522,target gene,No,7
Phlpp1,F1LNC3,-,target gene,No,12
Zfp507,D3ZYC1,292816,target gene,No,10
Foxm1,D3ZLE1,58921,target gene,No,7
Kcnj2,Q64273,29712,target gene,No,2
Rabl6,D3ZKQ4,362084,target gene,No,8
Sh2b3,D4ABY6,-,target gene,No,6
Gskip,A0A0H2UHD3,362778,target gene,No,7
Bax,G3V8T9,24887,target gene,No,9
Wipi1,B2RYM2,303630,target gene,No,7
Lsm3,D4A7U6,297455,target gene,No,14
Parn,A0A0G2K6N8,-,target gene,No,11
Cnih4,D3ZTY0,289324,target gene,No,6
Kcnc1,P25122,25327,target gene,No,2
Aifm3,D3ZF03,303786,target gene,No,1
Tmem50b,Q5BJS6,360698,target gene,No,4
Efemp2,A0A0G2K2R5,293677,target gene,No,8
Hebp1,B4F7C7,362454,target gene,No,5
Zfp68,D3ZIP9,304337,target gene,No,8
Bbox1,A0A0G2K5N7,-,target gene,No,5
Slc28a2,F1LXN6,-,target gene,No,2
Slc35d1,D3ZVG2,298280,target gene,No,11
Fahd1,Q6AYQ8,302980,target gene,No,9
Cep44,Q3B7T8,290722,target gene,No,9
Golm1,D4AEL2,-,target gene,No,4
Eva1a,D4A3V0,500221,target gene,No,4
Slc12a7,Q5RK27,308069,target gene,No,6
Rpp38,Q497C2,291317,target gene,No,11
Cenpo,M0R9I1,684439,target gene,No,8
Alkbh8,D3ZK29,366783,target gene,No,9
Osbpl11,B5DF74,303888,target gene,No,12
Cep78,F1LP29,60347,target gene,No,12
Junb,A0A0G2JSY8,24517,target gene,No,12
Anp32a,F7EL36,-,target gene,No,11
Pcsk5,P41413,116548,target gene,No,9
Rps18,P62271,100360679;294282,target gene,No,10
Sirt4,G3V641,304539,target gene,No,8
Larp1,F1M062,-,target gene,No,5
Rsu1,D4A8F2,-,target gene,No,8
Vdr,G3V744,-,target gene,No,4
Mphosph6,B2RYS3,686999,target gene,No,5
Rab11b,O35509,79434,target gene,No,9
Armcx6,Q66HF0,363496,target gene,No,3
Snrnp48,D3ZJA5,291060,target gene,No,8
Plekho2,D3Z9K4,315764,target gene,No,7
Cltb,P08082,116561,target gene,No,6
Msrb3,D4A650,680036,target gene,No,6
Zcchc9,Q5XII6,309986,target gene,No,7
